Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000181038.13,METTL23,27.5187,23.6447,22.7512,30.2914,27.747,29.821,25.0537,8.53155,8.09123,10.38,16.4342,14.8583,9.08887,9.73691,8.39165,10.63,10.5471,8.88257,14.1047,10.3449,27.6336,31.1039,32.6639,29.4635,36.9527,20.8956,19.1249,21.3182,16.845,19.6343,33.244,12.0505,9.5584,16.2822,26.7807,13.7021,28.3198,22.6253,12.8397,31.8786,32.152,14.3455,33.2728,28.4287,23.5998,24.5186,23.9709,43.2524,19.6734,64.4465,43.9774,31.991,25.0535,12.0794
ENSG00000184640.17,SEPT9,42.0421,34.0886,40.5426,44.7689,44.7013,64.5399,77.8705,15.3767,23.063,10.1546,66.0831,66.8603,26.4051,26.1966,13.4567,17.6475,10.7682,9.40895,25.938,14.0744,46.7515,80.2338,156.921,72.4321,78.4946,82.3034,48.3567,67.2888,37.0703,66.0398,71.7818,12.4205,12.7587,19.9623,27.2222,20.6058,51.8155,40.7352,16.8188,68.6961,51.2749,7.72292,37.0183,60.3324,43.2072,43.25,67.9573,76.2403,40.7715,43.2499,39.1332,78.8351,52.8471,37.1213
ENSG00000184009.9,ACTG1,1833.7,2043.25,1072.14,2748.68,2438.91,2520.68,1545.48,580.701,714.518,613.653,541.951,568.106,774.272,827.021,551.611,719.121,803.326,519.442,1024.5,637.15,1764.48,4888.22,4010.53,2201.79,2320.59,1260.7,1504.59,1215.86,2732.37,1045.74,1969.6,546.902,221.138,828.959,1143.89,415.923,2389.94,1396.37,220.882,2195.72,3345.92,965.337,1353.27,1241.2,1900.77,1982.6,1324.37,1554.34,1425.55,888.823,1781.91,2683.13,2440.3,1086.94
ENSG00000185624.14,P4HB,255.098,256.725,394.273,449.324,386.205,311.703,266.327,40.442,46.0971,46.7943,116.57,112.801,55.7039,60.6874,38.2964,58.9319,51.0376,41.1808,61.9076,42.6132,260.649,1252.51,452.45,285.735,331.139,187.035,222.361,189.783,558.809,189.268,223.484,164.517,111.529,135.564,131.016,511.24,354.322,583.572,171.256,228.143,249.806,960.635,351.184,311.194,361.294,397.065,259.5,399.72,373.609,95.9294,327.125,261.759,393.885,159.637
ENSG00000183010.16,PYCR1,1.9453,5.44344,2.47885,7.07376,6.82447,2.61413,4.98502,5.92859,6.26991,7.03681,5.92853,6.49522,6.04665,5.96439,4.44073,6.44005,6.36779,4.99351,4.78144,5.56507,7.90506,80.3452,66.8286,10.9307,11.7504,3.12432,12.0289,2.4345,12.8359,2.65936,6.00468,4.10841,1.80704,1.92561,4.50718,2.22707,10.0588,38.9022,4.78308,5.80229,6.43247,38.4627,22.5383,24.3261,5.21079,4.66145,7.52949,6.27778,25.8717,21.0705,5.11927,5.87361,9.40477,0.562499
ENSG00000101577.9,LPIN2,18.6993,16.6179,10.9231,24.3466,22.1269,27.8122,19.8453,16.7563,21.8487,22.8345,29.9546,29.8538,20.7937,26.3221,13.3938,21.0064,26.5127,16.977,14.1391,14.5201,16.3682,29.4328,27.21,23.3613,22.4364,13.1697,14.708,12.5828,9.05142,11.6595,18.7254,6.50187,3.28422,15.2147,22.3297,47.5026,31.42,9.45108,2.11878,22.1477,23.9402,7.66914,22.1049,14.9799,5.58158,6.3329,27.9915,25.3115,16.8925,37.8439,21.4062,21.883,12.0336,19.7974
ENSG00000177426.20,TGIF1,13.0669,14.2474,9.73472,13.9369,12.31,14.1755,16.2374,2.09009,1.5996,2.33308,0.598669,0.800005,1.55327,1.36468,1.95386,2.49741,1.81931,1.61594,3.78704,2.18928,16.8454,29.2814,1.96633,14.643,18.1535,11.6654,12.4947,11.3316,10.5282,11.9753,21.3848,4.13245,1.85714,8.56339,13.9556,6.3302,18.3995,15.0022,4.03781,18.2894,18.2178,4.16303,5.13733,18.681,18.314,16.3875,11.8125,12.3241,10.4757,12.2518,14.0999,17.0608,15.2612,3.51177
ENSG00000101680.14,LAMA1,0.657651,1.35526,0.0878591,0.128312,0.445225,0.288267,0.740837,1.46705,1.40526,2.11794,0.210398,0.390634,1.46024,1.1453,1.39336,1.46364,1.9257,1.61841,0.372511,1.26936,1.49682,17.2222,0.0232733,1.17558,1.98317,0.324649,0.614362,0.112555,0.292631,0.137482,0.50986,0.123461,0.0750924,2.69992,6.80385,0.0908236,1.11587,2.80617,0.0379141,1.11422,4.06308,0.64604,3.96732,0.667934,0.600988,0.835561,0.704686,0.429942,0.150174,22.3206,6.57132,1.72967,0.592173,0
ENSG00000154864.11,PIEZO2,0.593814,1.38633,0.564405,0.671194,0.481228,0.213496,1.9166,1.41699,0.434257,0.882405,0.274741,0.390582,0.905484,0.714061,2.31161,1.13563,0.530211,1.32052,7.62025,2.82189,1.04449,0.0494322,3.02104,0.705833,0.681567,4.97428,1.53008,0.607692,1.04954,0.679812,0.923349,0.154348,0.0163496,0.756603,0.788273,1.17904,7.94918,0.240994,0.0486313,5.17746,0.951339,0.695622,1.27961,3.38235,0.445406,0.62685,0.710429,1.01382,0.451309,1.1026,1.35214,0.49092,0.864699,0.00465776
ENSG00000141385.9,AFG3L2,35.579,31.3037,34.6463,25.3518,27.0806,31.0291,41.1474,12.8371,17.8563,16.143,44.1707,35.0043,24.1325,29.7085,12.0399,17.9683,17.8647,13.0425,17.3009,13.043,34.4338,50.345,75.1124,32.2615,33.0925,32.9078,44.0831,31.8197,44.0032,33.0825,33.9964,35.9202,50.3895,26.9182,34.135,17.7071,29.0545,35.6257,82.4331,37.9808,38.0144,16.6083,30.6215,28.0767,47.5324,49.6254,38.8106,23.4275,33.9495,32.1748,47.7191,34.764,37.4765,5.57063
