Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000119139.17,TJP2,81.2655,61.2766,18.6703,103.593,74.8842,62.359,76.2231,18.8396,11.227,14.8498,29.8869,48.8581,17.5604,11.7577,25.078,18.3408,10.0336,16.8766,68.8408,25.4404,54.7549,39.2011,48.5865,22.0865,16.8869,18.2271,30.9242,46.7036,64.3737,62.9851,34.7123,17.6184,22.8846,30.6738,34.8191,32.5272,84.1714,36.9424,8.20032,85.4845,62.5457,14.0851,10.2058,36.5403,49.1162,55.4808,37.5492,7.64452,47.621,51.6382,79.9627,36.1932,44.1459,2.45545
ENSG00000156052.10,GNAQ,42.3299,33.0825,23.6413,48.2525,39.0648,54.6924,42.6644,35.4177,43.4145,34.8784,38.6866,33.9339,40.7716,54.1346,35.8062,33.4395,36.5326,30.035,53.3089,31.2816,35.8665,29.7406,0.139199,38.4336,41.023,45.377,30.4636,37.8002,23.2956,43.1079,38.0748,7.38107,4.19063,14.262,17.524,8.13263,51.6324,27.9283,8.28739,47.9461,36.7803,7.36608,25.5662,30.0158,13.9352,16.1223,21.0963,15.1686,23.8926,16.2771,37.0889,47.7468,28.1806,18.3032
ENSG00000158169.12,FANCC,2.46022,2.52661,1.44044,2.89361,3.05067,2.5756,3.23752,0.589678,0.534121,0.752677,12.2174,12.3106,0.839016,0.730425,0.667091,1.05981,0.656764,0.658789,1.24778,0.776921,2.79338,4.32402,5.26963,4.50365,5.9376,2.89741,3.31273,3.43831,2.94688,3.38378,3.75985,1.29183,0.955655,2.96685,3.82295,8.82859,4.65783,2.93899,1.21783,4.99275,2.74464,1.75468,4.20601,4.18949,3.50436,3.42007,3.75422,2.17468,2.69552,14.6226,4.15356,4.62431,3.94354,0.331159
ENSG00000178919.8,FOXE1,0.0326598,0.0203315,0.0153764,0.0331113,0.028815,0.0371803,0.0322474,0.0114392,0.00887715,0.0116878,0.0258558,0.0507856,0.0153973,0.0165284,0.012871,0.0131479,0.0161306,0.00788137,0.0187603,0,0.0409956,0,0.0184651,0.0287752,0.0323057,0.0281046,0.0209189,0.0334679,8.24228,0.0321923,0.0296823,0.0122195,0.0100869,0.0450942,0.0268547,0.0110807,0.0467338,0.139384,0.0179635,0.051674,0.0361427,0.0275642,0.0370263,0.289898,1.01474,0.513748,0.0310919,0.0214031,0.0201558,1.1409,164.487,0.0402668,6.13215,0.0139933
ENSG00000106799.12,TGFBR1,17.5028,13.6098,6.89641,47.9096,35.2045,37.8787,17.3153,3.62444,2.77389,3.7363,15.9469,13.354,2.52431,3.13032,3.53405,5.83851,3.04415,3.00612,11.5149,7.19558,14.8032,27.9593,11.5947,15.217,22.8813,31.9015,15.9675,19.28,13.4394,20.7194,22.6201,6.6526,3.15335,5.60843,10.6855,4.92677,25.2705,12.744,5.47277,21.642,17.2547,4.292,15.2269,17.0072,7.4603,9.01862,13.5555,15.7943,12.0137,15.7994,13.6675,26.4624,17.5675,12.8132
ENSG00000070159.13,PTPN3,3.49107,3.82293,1.61754,10.7882,6.59085,9.68027,1.42435,1.51944,1.67814,0.142962,2.04416,1.89671,4.78591,4.81571,1.48357,0.494924,0.262856,0.0718755,0.222251,0.29281,6.85274,1.05414,0.281019,1.99076,2.75775,1.21112,6.63565,1.4397,13.2144,0.993024,3.73762,2.12838,8.83914,14.5491,21.3089,15.508,6.26497,9.37483,23.8337,1.27935,0.784315,7.6592,3.97636,9.6077,29.2666,31.5775,7.17311,0.47047,7.62069,4.51496,13.4205,1.56486,9.91938,0.0318545
ENSG00000148218.15,ALAD,31.805,28.9145,189.163,37.893,36.0231,31.6289,33.8032,45.7311,37.0164,47.8446,63.3626,59.4823,40.8522,43.8464,48.1101,55.8953,47.2858,44.8638,126.475,82.4858,32.8928,28.2085,17.8014,35.5869,34.0372,33.6302,30.3578,25.6302,44.2937,26.6541,27.2074,17.9498,25.801,23.2025,20.72,52.3643,27.5345,30.2391,12.0591,81.2088,49.7313,26.0224,30.9649,36.2875,40.5062,41.726,28.2368,19.1989,48.6391,26.9525,41.6066,36.8649,35.8671,9.33359
ENSG00000136944.17,LMX1B,0.818826,0.180205,0.0117087,0.161215,0.460696,0.287905,0.0455881,0.00811466,0.00717226,0.0157818,0.0182234,0.0318248,0.0115738,0.0102852,0.014606,0.0706686,0.0183681,0.015866,0.107827,1.87919,5.14906,0.0173363,0,0.00943474,0.018793,0.762121,0.214747,0.310213,0.0411937,0.309971,0.16043,1.25329,0.315895,3.21623,0.326564,0,0.0544332,1.31919,0.0461801,0.252024,0.0120249,0.108231,0.482721,0.0685637,2.68254,3.40485,0.134708,0.0101036,0.0757925,2.98187,0.686731,0.0172072,0.020403,0
ENSG00000097007.17,ABL1,77.3988,72.7505,31.417,88.3378,76.2859,113.056,120.826,16.2534,15.6748,18.0812,21.0993,26.0539,19.9606,16.5818,18.409,20.979,17.7714,16.6594,40.6609,21.3751,73.2543,91.4055,30.6017,127.497,135.025,166.084,76.63,126.285,37.4568,119.663,124.413,27.0681,15.813,18.2601,26.7002,9.22794,59.1749,43.5295,18.7464,74.0904,105.051,13.3292,56.8331,70.22,43.4367,51.2822,53.9468,33.8442,41.3974,31.4648,92.7892,138.146,71.3419,4.05744
ENSG00000165699.13,TSC1,20.5678,15.8653,18.9636,18.8341,19.2057,19.8348,22.7435,9.69986,13.7002,14.1591,57.3481,59.4507,22.1716,19.2025,10.567,13.4313,15.0273,10.9337,13.1589,10.8882,20.5438,23.1555,15.7215,29.5768,29.9006,23.368,16.2019,20.5724,13.7623,19.3368,26.6182,8.62557,9.01026,11.7621,11.6185,7.21807,22.5781,15.9392,11.0874,37.4605,36.5058,7.99206,30.9325,24.7008,23.7822,25.3717,19.0916,24.385,14.9978,33.5968,35.7394,30.0833,23.3281,4.24636
